open,close,high,low,volume
10.875,11.0,11.0,10.875,14600
10.125,10.25,10.25,10.125,8000
10.75,11.0,11.125,10.75,139600
10.25,10.375,10.5,10.25,109500
10.125,10.125,10.125,10.0,56300
9.125,9.5,9.625,8.875,212700
9.625,9.125,9.625,9.125,70500
8.875,8.75,8.875,8.75,70300
7.75,8.0,8.0,7.25,247900
8.75,8.875,8.875,8.625,20100
8.75,8.75,8.75,8.75,20300
8.25,8.25,8.375,8.0,54900
8.375,7.875,8.375,7.75,88400
7.625,7.625,7.75,7.5,114200
8.25,7.25,8.25,7.125,182100
7.25,6.875,7.25,6.75,289500
8.625,8.625,8.625,8.125,83500
8.625,8.375,9.0,8.375,199400
9.0,9.125,9.25,9.0,130000
9.625,9.5,9.625,9.375,110400
9.0,9.0,9.125,9.0,171100
10.125,10.25,10.25,10.0,120100
10.625,10.5,10.75,10.25,167500
10.0,9.875,10.0,9.875,20900
10.375,10.375,10.5,10.375,151700
11.0,11.125,11.125,10.75,155700
10.875,10.875,11.0,10.5,77000
10.75,11.0,11.0,10.625,55200
11.0,11.0,11.0,11.0,36000
10.25,10.125,10.25,10.125,35500
10.0,9.875,10.0,9.625,47000
10.75,10.5,10.75,10.25,41400
10.5,10.875,11.0,10.5,60900
11.125,11.25,11.375,11.125,151300
10.875,11.25,11.25,10.75,64800
11.375,11.625,11.625,11.375,27000
11.375,11.5,11.5,11.375,78600
11.25,11.375,11.5,11.25,19900
11.25,11.0,11.25,11.0,9000
10.625,10.625,10.625,10.0,200100
10.25,10.25,10.25,10.125,153800
10.625,10.625,10.640625,10.5,57900
10.5,10.5,10.5,10.375,191000
10.125,10.25,10.25,10.125,3400
10.25,10.5,10.5,10.25,48100
10.25,10.375,10.375,10.25,13100
10.375,10.375,10.375,10.375,200
10.375,10.25,10.375,10.25,14400
10.0,10.0,10.125,10.0,28000
10.25,10.375,10.375,10.25,21000
10.25,10.25,10.375,10.125,57400
10.875,10.875,11.0,10.75,69000
11.0,11.0,11.125,10.875,165200
11.0,10.875,11.0,10.875,35800
11.375,11.25,11.375,11.125,66500
11.25,11.25,11.375,11.25,43600
12.5,12.625,12.875,12.5,52400
12.5,12.5,12.625,12.375,50200
12.625,12.5,12.75,12.375,53800
12.75,12.625,12.75,12.5,32600
12.75,12.75,12.75,12.625,27000
12.75,12.625,12.75,12.625,11200
12.375,12.25,12.5,12.125,16900
13.0,12.875,13.0,12.75,101000
12.375,12.125,12.375,12.125,98300
12.125,12.375,12.375,12.125,37100
13.0,12.875,13.0,12.75,53000
12.125,12.375,12.5,12.125,65500
12.125,12.0,12.125,12.0,125500
12.125,12.125,12.125,12.0,12100
11.75,11.875,11.875,11.75,61700
12.25,12.5,12.5,12.25,10800
12.5,12.75,12.75,12.25,70000
12.75,12.875,12.875,12.75,38400
12.75,12.75,13.0,12.75,55000
13.125,13.25,13.375,13.0,35900
13.0,13.125,13.25,12.75,81700
12.75,12.625,12.8125,12.25,83000
12.375,12.0,12.375,12.0,137800
11.75,11.625,11.875,11.625,403400
11.75,12.0,12.125,11.75,176800
12.375,12.5,12.5,12.375,27100
11.875,11.875,11.875,11.875,8600
11.875,11.625,12.0,11.625,10300
11.5,11.5,11.5,11.375,17600
11.0,11.125,11.25,11.0,49300
12.25,12.25,12.25,12.125,23800
12.0,11.75,12.125,11.625,85400
11.375,11.375,11.5,11.375,10300
11.875,11.875,12.0,11.875,83100
12.125,12.125,12.25,12.0,126100
12.25,12.25,12.375,12.25,41400
12.125,12.25,12.25,12.125,19800
12.375,12.375,12.375,12.25,66000
12.375,12.375,12.375,12.125,70200
11.75,11.875,12.0,11.75,48600
11.625,11.875,11.875,11.625,40100
11.625,11.75,11.75,11.625,22100
12.015625,11.75,12.015625,11.75,28300
11.875,11.875,11.875,11.75,27000
12.25,12.25,12.375,12.25,27900
12.5,12.375,12.625,12.375,98800
12.0,12.125,12.125,11.625,82300
12.125,11.75,12.125,11.75,81800
11.625,11.375,11.75,11.375,50100
12.25,12.375,12.5,12.25,46300
12.375,12.25,12.375,12.25,4600
13.25,13.125,13.25,13.0,240300
13.5,14.0,14.0,13.375,50500
13.125,13.375,13.5,13.125,35000
13.0,13.125,13.25,13.0,47000
13.0,13.0,13.015625,12.875,86600
13.375,13.375,13.625,13.375,58300
12.75,12.875,13.25,12.75,118200
13.0,13.125,13.125,12.875,27900
12.875,12.875,12.875,12.75,43600
12.875,12.875,13.0,12.875,66600
13.0,13.0,13.0,12.875,105500
13.0,13.0,13.0,12.875,29800
12.875,12.875,13.0,12.875,28400
12.75,12.625,12.875,12.625,38800
12.25,12.484375,12.515625,12.25,109600
12.75,12.5,12.75,12.375,52100
12.375,12.5,12.5,12.375,8600
12.875,12.875,12.875,12.75,27900
12.625,12.625,12.75,12.625,102600
12.75,12.75,12.875,12.75,32200
12.625,12.625,12.625,12.625,10000
12.5,12.625,12.625,12.5,5600
12.375,12.25,12.515625,12.25,90600
12.25,12.375,12.375,12.25,30300
12.5,12.375,12.5,12.125,24300
12.4375,12.125,12.4375,12.125,79000
12.0,11.9375,12.125,11.9375,175000
11.6875,11.875,11.875,11.625,44000
11.8125,11.625,11.8125,11.5625,38200
11.625,11.3125,11.625,11.3125,43300
11.25,11.1875,11.25,11.125,49700
11.5625,11.5625,11.625,11.5625,26500
12.125,12.5,12.5,12.0625,309800
11.875,12.0,12.0,11.875,187400
11.75,11.8125,11.9375,11.6875,41900
11.9375,11.75,12.0,11.75,343400
11.8125,11.625,11.8125,11.625,23900
11.625,11.5625,11.75,11.375,73400
11.3125,11.625,11.625,11.3125,40100
11.125,11.375,11.375,11.125,42500
11.125,11.3125,11.625,11.125,36200
10.875,9.0,10.875,9.0,204800
9.8125,10.125,10.375,9.8125,74600
9.0625,9.0,9.0625,8.75,154700
10.375,10.5,10.5,10.375,98400
10.625,10.75,11.125,10.625,107600
10.9375,11.0625,11.0625,10.875,193400
10.25,10.4375,10.5,10.25,92500
10.9375,11.0,11.25,10.9375,65900
11.125,11.125,11.125,11.0,8100
11.25,11.1875,11.25,11.125,25500
11.3125,11.3125,11.3125,11.3125,15400
11.0625,11.25,11.25,11.0625,7400
11.25,11.375,11.5,11.25,30400
11.375,11.3125,11.375,11.1875,131600
11.375,11.1875,11.625,11.125,114100
11.1875,11.25,11.25,11.1875,194700
11.1875,11.125,11.1875,11.0,36300
11.5625,11.5,11.5625,11.5,12900
11.8125,11.625,11.8125,11.625,16900
11.625,11.75,11.75,11.5,3700
11.875,11.875,12.0,11.875,105100
11.6875,11.8125,11.8125,11.625,70400
11.6875,11.6875,11.8125,11.6875,23900
11.25,11.25,11.25,11.25,2400
11.5,11.375,11.6875,11.375,4100
11.6875,11.5625,11.6875,11.5,55500
11.5625,11.6875,11.6875,11.5,47700
11.25,11.125,11.25,11.0625,8000
10.875,10.5625,10.875,10.5,22200
11.0,11.125,11.25,10.875,87600
11.0625,11.0625,11.125,11.0,35200
10.8125,10.9375,10.9375,10.8125,100200
10.9375,11.0,11.0,10.8125,22300
10.875,11.0,11.0,10.875,34900
12.125,12.375,12.375,12.125,78800
12.25,12.25,12.5,12.125,16800
11.875,11.8125,11.875,11.8125,10900
11.875,11.875,11.875,11.875,28400
11.875,11.75,11.9375,11.5625,300100
10.875,10.6875,10.875,10.1875,276900
10.6875,10.6875,10.75,10.6875,53800
9.75,9.5,9.75,9.5,125900
9.8125,9.6875,9.8125,9.5625,20500
9.25,9.5,9.5,9.0,302400
9.125,9.4375,9.625,9.125,23500
9.5,9.8125,10.0,9.5,32200
9.4375,9.5,9.5,9.25,20900
9.5625,9.625,9.625,9.5,21600
10.125,10.0625,10.25,10.0625,78300
10.125,10.0,10.125,10.0,53000
10.9375,10.9375,11.0625,10.9375,80300
11.0,10.9375,11.0,10.9375,19600
10.875,10.9375,10.9375,10.875,76700
9.875,10.5,10.5,9.875,116700
10.125,10.0625,10.125,10.0,2200
10.0,10.0,10.0,10.0,3500
9.875,10.0625,10.125,9.875,4800
10.0,10.125,10.125,9.875,3000
10.0,10.0,10.0,10.0,600
9.0,10.0,10.0,9.0,18100
10.3125,10.25,10.3125,10.1875,27300
9.6875,9.875,9.9375,9.6875,34100
10.125,10.0625,10.375,10.0625,8400
10.25,10.0625,10.25,10.0625,13200
10.5,10.4375,10.5,10.1875,33900
10.125,10.1875,10.1875,10.0,18800
10.0,9.9375,10.0,9.9375,4000
9.625,9.625,9.625,9.5625,16200
9.4375,9.4375,9.4375,9.4375,2300
9.4375,9.3125,9.4375,9.3125,2100
9.6875,9.375,9.6875,9.375,7800
9.75,9.75,9.75,9.625,5500
9.375,9.4375,9.4375,9.3125,11000
9.5,9.625,9.75,9.375,67900
9.4375,9.5625,9.625,9.4375,269000
10.0,9.8125,10.0,9.75,17300
10.1875,10.125,10.25,10.125,12400
9.3125,9.1875,9.5,9.125,10400
9.0,8.9375,9.0,8.9375,27200
8.75,8.875,8.875,8.75,110500
8.875,9.0,9.125,8.875,609000
9.0,9.0,9.0625,9.0,5500
9.25,9.4375,9.4375,9.25,15600
9.625,9.5,9.625,9.5,172500
9.375,9.6875,9.6875,9.375,15100
9.25,9.375,9.375,9.1875,116300
9.375,9.4375,9.5,9.3125,137200
8.5,8.5,8.5625,8.4375,48400
8.5,8.4375,8.5,8.3125,31200
8.0,8.0,8.0,7.9375,30200
8.0625,8.0,8.0625,8.0,387200
8.0,8.0,8.125,8.0,26600
7.9375,7.875,7.9375,7.875,20700
7.9375,7.9375,8.0625,7.875,8400
8.4375,8.25,8.4375,8.0,50400
8.3125,8.25,8.3125,7.9375,55500
8.25,8.3125,8.375,8.25,10000
8.25,8.4375,8.4375,8.25,33900
8.375,8.125,8.375,8.125,9200
8.3125,8.5625,8.5625,8.3125,11700
8.25,8.3125,8.4375,8.25,18500
8.3125,8.375,8.375,8.3125,202300
8.5,8.5,8.5625,8.5,21200
8.6875,8.625,8.6875,8.5625,12100
8.375,8.375,8.5,8.375,8000
8.3125,8.3125,8.5,8.3125,162300
8.375,8.75,8.75,8.25,462000
9.0,9.375,9.375,9.0,71800
9.1875,9.125,9.1875,9.125,2200
9.1875,9.1875,9.1875,9.1875,600
9.125,9.125,9.25,9.0625,17900
9.25,8.75,9.25,8.75,24600
8.9375,8.875,9.0,8.75,15000
8.8125,8.5,8.8125,8.5,27000
8.6875,8.6875,8.875,8.6875,9900
8.75,9.0,9.0,8.625,103000
8.9375,8.9375,8.9375,8.8125,1800
8.9375,9.0,9.0,8.9375,56500
9.0625,9.0625,9.25,9.0625,76200
8.75,8.6875,8.875,8.6875,2000
8.25,8.25,8.3125,8.25,63100
8.3125,8.25,8.3125,8.25,17800
8.5,8.5,8.5,8.5,8100
8.5,8.375,8.5,8.375,22600
8.5625,8.6875,8.75,8.5625,54000
8.625,8.75,8.75,8.625,17300
8.75,8.5,8.75,8.5,3100
8.0625,8.0625,8.0625,8.0,1300
8.0,7.9375,8.0,7.9375,10000
7.6875,7.5625,7.6875,7.5625,21300
7.6875,7.8125,7.8125,7.6875,39700
7.8125,7.8125,8.0625,7.8125,7000
8.3125,8.25,8.3125,8.125,2500
8.5625,8.5625,8.625,8.375,3600
8.25,8.375,8.375,8.1875,4800
9.0625,8.8125,9.0625,8.6875,1500
9.25,9.1875,9.25,9.1875,15000
9.25,9.25,9.25,9.125,12000
8.6875,8.5625,8.6875,8.5625,2800
8.0625,8.25,8.3125,8.0625,51900
8.0,8.125,8.125,8.0,600
7.625,7.5,7.625,7.5,147400
7.3125,7.25,7.3125,7.125,189500
7.5,7.5,7.5,7.5,1300
7.4375,7.3125,7.4375,7.25,27400
7.3125,7.3125,7.3125,7.3125,4000
7.1875,7.3125,7.3125,7.1875,1800
7.5,7.375,7.5,7.375,2800
7.1875,7.1875,7.1875,7.1875,1200
6.875,6.875,6.875,6.75,900
6.875,7.0,7.0,6.875,1700
6.875,7.25,7.25,6.5,27000
8.125,8.4375,8.625,8.125,13000
7.6875,7.75,7.75,7.6875,9400
7.625,7.625,7.6875,7.375,45100
7.125,7.3125,7.375,7.125,15200
7.125,7.25,7.25,7.0,20800
7.375,7.5,7.5,7.25,7300
7.0625,7.0,7.0625,7.0,5000
7.5,7.4375,7.5,7.4375,1900
7.875,7.75,8.0,7.75,14400
7.625,7.9375,7.9375,7.625,4300
7.75,7.75,7.75,7.75,3000
7.75,7.75,7.75,7.625,140400
7.690000057220459,7.699999809265137,7.699999809265137,7.650000095367432,2800
7.5,7.599999904632568,7.650000095367432,7.5,67900
7.389999866485596,7.199999809265137,7.400000095367432,7.199999809265137,51300
7.449999809265137,7.409999847412109,7.480000019073486,7.400000095367432,4500
7.300000190734863,7.400000095367432,7.400000095367432,7.179999828338623,25900
7.78000020980835,7.900000095367432,8.149999618530273,7.78000020980835,31400
7.650000095367432,7.659999847412109,7.800000190734863,7.550000190734863,51000
7.210000038146973,7.300000190734863,7.300000190734863,7.210000038146973,5200
7.300000190734863,7.5,7.5,7.300000190734863,10500
7.309999942779541,7.349999904632568,7.349999904632568,7.309999942779541,1000
7.599999904632568,7.650000095367432,7.650000095367432,7.599999904632568,400
7.449999809265137,7.400000095367432,7.449999809265137,7.349999904632568,8700
7.03000020980835,7.079999923706055,7.099999904632568,7.03000020980835,11600
6.920000076293945,6.900000095367432,6.949999809265137,6.849999904632568,11700
6.75,6.829999923706055,6.900000095367432,6.75,5800
6.869999885559082,6.599999904632568,6.869999885559082,6.599999904632568,3600
6.869999885559082,6.769999980926514,6.869999885559082,6.769999980926514,1600
6.670000076293945,6.630000114440918,6.679999828338623,6.619999885559082,16400
7.03000020980835,7.03000020980835,7.03000020980835,7.03000020980835,5200
7.010000228881836,6.949999809265137,7.010000228881836,6.900000095367432,102400
6.769999980926514,6.769999980926514,6.769999980926514,6.769999980926514,0
6.929999828338623,6.980000019073486,6.980000019073486,6.900000095367432,3200
6.900000095367432,6.849999904632568,6.900000095367432,6.849999904632568,1500
5.650000095367432,5.420000076293945,5.679999828338623,5.400000095367432,16600
6.0,5.949999809265137,6.010000228881836,5.849999904632568,54800
6.0,6.099999904632568,6.099999904632568,6.0,3500
6.010000228881836,6.050000190734863,6.099999904632568,6.0,5800
6.230000019073486,6.199999809265137,6.230000019073486,6.150000095367432,400
6.519999980926514,6.199999809265137,6.519999980926514,6.199999809265137,3500
6.210000038146973,6.349999904632568,6.349999904632568,6.210000038146973,1000
6.300000190734863,6.199999809265137,6.300000190734863,6.199999809265137,600
6.75,6.849999904632568,6.889999866485596,6.75,1500
6.0,5.849999904632568,6.0,5.840000152587891,4900
6.050000190734863,6.050000190734863,6.079999923706055,6.050000190734863,2000
5.800000190734863,5.349999904632568,5.800000190734863,5.349999904632568,5900
5.019999980926514,5.0,5.019999980926514,4.989999771118164,700
4.800000190734863,4.989999771118164,5.119999885559082,4.659999847412109,22400
5.099999904632568,5.0,5.130000114440918,5.0,4100
