open,close,high,low,volume
21.25,21.875,22.125,21.125,34346800
20.75,20.25,20.75,20.25,1615700
20.5,20.25,20.5,19.875,3669300
19.25,19.0,19.375,18.875,2702800
20.625,20.625,20.75,20.5,611000
20.5,20.375,20.625,20.125,971500
21.0,21.625,21.625,21.0,1763600
22.875,22.625,23.25,22.5,2246300
22.625,22.625,22.625,22.375,443600
24.125,24.0,24.375,24.0,877600
24.125,22.625,24.375,22.5,1908300
23.75,23.5,23.875,23.5,1710800
23.625,23.5,23.75,23.375,796200
23.375,23.75,23.75,23.375,1277300
25.875,26.25,26.25,25.75,660600
27.25,27.375,27.375,26.75,905100
28.25,28.75,29.0,28.125,1718600
27.75,27.5,28.125,27.375,939700
27.0,26.875,27.375,26.75,834900
26.875,26.75,27.25,26.5,1232200
27.25,26.625,27.5,26.5,1279900
25.375,25.875,25.875,25.125,599000
24.875,25.0,25.375,24.875,868900
24.25,24.875,25.0,24.25,1206300
24.375,24.0,24.5,23.5,1225200
25.25,25.875,26.125,25.25,2234600
25.75,26.0,26.0,25.75,436600
26.625,26.375,26.625,26.25,1287900
26.625,25.75,26.75,25.625,677100
26.625,26.75,26.875,26.5,621900
26.875,26.625,26.875,26.25,553700
28.75,28.0,29.375,27.875,1636000
29.0,28.5,29.125,28.375,1022800
28.5,28.0,28.5,27.75,1265800
27.875,26.625,28.0,26.375,1919100
27.375,26.125,27.375,25.5,875600
24.0,24.5,24.75,23.5,2027300
23.875,25.125,25.125,23.75,1972300
24.125,24.375,24.375,23.5,985200
23.875,23.75,24.125,23.5,502500
22.5,23.25,23.5,22.375,1857900
24.375,24.25,24.75,24.25,783000
24.375,23.75,24.375,23.625,1709600
25.0,25.25,25.375,24.875,1419800
24.875,25.0,25.25,24.875,1155100
25.0,24.875,25.0,24.75,458100
26.875,26.5,26.875,26.5,803600
26.125,26.375,26.5,26.125,480000
25.875,25.75,25.875,25.625,515000
25.25,25.375,25.5,25.125,679100
24.5,24.0,24.5,24.0,643800
24.0,24.125,24.25,24.0,829900
24.875,25.0,25.375,24.875,790600
24.625,24.625,24.875,24.625,395100
25.375,25.375,25.5,25.25,533500
26.125,26.375,26.5,25.75,2034500
25.625,25.625,25.75,25.5,510000
24.75,24.625,24.75,24.25,934100
24.75,24.625,24.875,24.625,733200
26.0,25.75,26.25,25.625,681100
25.625,25.75,25.875,25.5,479700
25.25,25.0,25.5,25.0,679400
25.5,25.375,25.5,25.25,402700
25.25,25.375,25.5,25.25,235900
24.375,24.75,24.75,24.25,1610600
25.0,25.0,25.0,24.875,328800
25.0,24.875,25.0,24.75,739400
23.375,23.875,24.0,23.375,2528400
24.125,24.25,24.375,24.0,1408300
23.625,23.375,23.625,23.125,1159500
23.5,23.125,23.5,22.875,914700
21.875,21.625,22.0,21.375,2200500
22.625,22.625,22.625,22.375,934300
22.875,23.0,23.125,22.75,858700
23.375,23.25,23.375,23.25,254800
22.25,21.625,22.25,21.125,2122000
20.75,21.25,21.375,20.5,2168200
20.75,19.875,20.75,19.75,3066700
20.5,20.25,20.5,20.0,3129200
20.25,20.375,20.375,20.0,1285000
19.875,19.625,19.875,19.5,2335500
21.125,21.125,21.25,20.875,1727500
20.5,20.625,20.75,20.5,1007000
19.25,19.125,19.375,18.875,1366200
18.0,17.375,18.3125,17.25,5403200
15.1875,15.75,15.75,14.875,4306500
17.0,17.0,17.125,16.75,1409600
17.0,17.0,17.0,16.75,992800
19.125,19.0,19.125,18.75,1263600
19.125,19.375,19.5,19.0,1255300
19.5,19.0,19.5,19.0,1087500
20.0,20.25,20.375,19.875,2045300
21.5,21.875,22.25,21.375,1787900
20.125,20.5,20.75,20.0,2210200
20.75,20.5,20.875,20.5,1445200
21.25,21.375,21.625,21.25,1241300
21.0,21.25,21.25,20.75,290200
20.25,19.75,20.25,19.25,1717000
19.0,19.0,19.0,18.75,875000
19.375,19.25,19.375,19.0,924000
19.25,19.375,19.5,19.25,350300
19.25,19.25,19.25,19.0,704900
19.875,20.0,20.0,19.625,730300
19.0,19.0,19.25,18.75,1022200
18.75,18.75,19.625,18.5,1890700
18.5,18.75,18.875,18.375,800600
19.375,19.25,19.375,19.125,567300
18.5,18.375,18.625,18.375,655700
18.375,18.125,18.5,18.125,1588000
17.875,17.375,18.0,17.375,1272100
19.125,19.25,19.375,18.875,1587500
19.25,19.25,19.375,18.875,1308200
18.5,18.625,18.625,18.375,451500
18.3125,17.75,18.375,17.75,1034700
18.125,17.875,18.125,17.75,750300
18.0,17.875,18.125,17.875,425100
18.0,18.125,18.125,17.875,278600
16.875,17.375,17.375,16.75,1210100
17.125,17.25,17.25,16.875,696400
17.125,17.0,17.375,17.0,410900
18.5,18.5,18.75,18.5,1187800
18.875,19.125,19.375,18.875,1234700
19.75,19.625,19.875,19.375,1444400
19.75,19.625,19.875,19.5,1094800
19.5,19.625,19.625,19.375,1490600
20.75,21.375,21.5,20.75,1253800
21.75,21.625,21.875,21.375,528200
22.75,22.875,23.125,22.375,1066900
22.0,21.75,22.5,21.75,1601700
21.5,21.375,21.75,21.375,695800
22.625,22.0,22.625,21.875,699000
22.25,22.625,22.75,22.125,942000
22.375,22.625,22.875,22.375,1240300
22.0,21.125,22.25,20.875,4448600
19.25,19.375,19.75,19.25,1535700
20.625,21.0,21.0,20.5,778300
19.875,19.875,20.0,19.75,944500
20.25,20.125,20.375,19.875,943000
20.625,20.75,20.75,20.375,785000
20.75,20.875,21.0,20.625,377800
20.625,20.75,20.75,20.5,972100
22.0,22.125,22.375,22.0,937100
22.5,22.25,22.75,22.125,1136300
22.0,21.875,22.125,21.75,537500
21.625,21.625,21.875,21.5,573800
22.375,22.375,22.5,22.25,929700
22.25,22.25,22.375,21.875,514200
22.125,22.125,22.375,22.0,570400
22.0,21.5,22.0,21.375,708200
21.875,22.25,22.25,21.625,543200
22.25,22.125,22.5,22.125,627900
23.0,22.5,23.0,22.25,347800
22.25,22.75,22.75,22.25,506100
22.25,22.0,22.375,21.875,1430500
21.25,21.625,21.875,21.25,1235200
21.375,21.5,21.625,21.375,295700
21.75,22.0,22.0,21.5,715300
22.5,22.5,22.875,22.25,3081200
22.25,22.375,22.5,22.125,372200
21.75,21.25,22.375,21.125,1293200
21.0,21.625,21.75,21.0,518200
21.875,22.25,22.25,21.875,793700
22.75,22.625,22.875,22.5,842500
23.125,22.875,23.25,22.75,496700
22.625,22.75,22.875,22.5,563100
22.75,22.75,22.75,22.625,930000
24.0,23.75,24.125,23.75,328900
23.75,23.5,23.875,23.25,636200
23.125,22.875,23.25,22.875,688300
23.0,22.75,23.0,22.625,716400
23.0,23.0,23.125,22.875,387500
23.125,23.125,23.375,23.125,1175900
24.0,23.75,24.0,23.75,580500
23.5,23.75,23.75,23.375,537400
23.125,23.5,23.5,22.875,1001800
23.875,23.875,24.125,23.75,1564800
23.875,23.875,23.875,22.875,380400
25.25,25.375,25.375,25.125,242000
26.875,27.375,27.5,26.75,1428500
27.375,28.0,28.0,27.375,1001300
27.75,27.25,28.0,26.875,1001700
27.0,27.75,27.75,26.875,694400
27.875,27.984375,28.5,27.875,868600
28.25,28.015625,28.25,27.75,1464200
28.0,27.734375,28.0,27.625,974800
26.375,26.625,26.875,26.375,1060400
26.5,26.515625,26.75,26.25,770600
26.5,27.0,27.25,26.5,554600
26.625,26.765625,26.875,26.5,542900
27.25,26.875,27.25,26.875,308300
26.75,27.0,27.0,26.625,697500
26.75,26.75,27.0,26.75,386100
26.25,25.875,26.375,25.75,519900
27.75,27.75,27.875,27.5,741200
27.5,27.75,27.875,27.375,692900
28.5,28.5,28.75,28.375,716400
28.875,28.875,29.125,28.75,783200
28.875,29.0,29.0,28.75,260900
29.25,29.625,29.625,28.875,839700
30.125,30.5,31.0,30.125,1416200
30.875,31.125,31.25,30.75,790800
31.125,31.375,31.5,31.125,1280300
31.75,31.375,31.75,31.25,430300
30.8125,30.984375,31.1875,30.8125,340400
31.5,31.5,31.625,31.3125,535600
30.1875,29.75,30.1875,29.4375,1551900
29.8125,30.25,30.375,29.6875,1430700
30.625,31.0,31.0625,30.5625,994200
33.25,32.375,33.25,32.25,1241100
32.25,32.0625,32.5625,32.0,896400
32.5,32.25,32.5625,32.0,1077400
33.0,33.625,33.859375,33.0,1602500
33.25,33.375,33.9375,33.0625,1536300
34.0625,34.625,34.6875,34.0625,940600
37.125,37.25,37.5625,37.0,1785400
36.875,36.5,37.0,36.5,486000
36.5625,36.5,36.6875,36.25,1896200
37.5,37.4375,37.9375,37.0,1244500
37.5625,38.125,38.125,37.5625,719500
32.5,32.0,32.875,30.625,2542500
33.625,33.0625,33.9375,32.984375,1311200
32.6875,31.5625,32.9375,31.5625,1040600
33.0,32.75,33.25,32.5,888800
33.0,33.125,33.5,32.5,861400
34.25,34.625,34.9375,33.8125,602600
34.5,33.25,34.5,32.875,766700
31.5,32.9375,33.125,31.125,972600
32.9375,33.625,33.75,32.8125,600900
29.9375,29.3125,30.25,29.0625,1560400
31.5,31.9375,32.0625,31.375,1114000
31.0,30.5625,31.1875,30.4375,1043100
31.0,32.125,32.1875,31.0,968600
31.1875,30.9375,31.1875,30.625,1114000
31.0,30.9375,31.0,30.3125,1003800
31.25,30.5,31.25,30.4375,510400
31.9375,31.9375,32.25,31.875,872900
31.5,31.5,31.75,31.5,556000
32.0,32.625,32.75,31.9375,1515700
33.9375,34.0,34.25,33.75,1488900
34.5,34.3125,34.625,34.125,530600
32.5,33.125,33.1875,32.5,421700
33.0625,33.3125,33.4375,33.0625,446000
33.4375,33.0625,33.4375,33.0,877100
34.25,34.125,34.4375,34.0,1047900
36.0,35.75,36.5,35.625,1258600
34.5625,34.75,34.9375,34.5625,770900
33.75,33.5625,34.0,33.1875,907700
31.625,31.125,31.625,31.0,1520500
31.5,31.3125,31.75,31.3125,696600
31.875,31.625,31.875,31.4375,546100
29.8125,28.8125,29.8125,28.6875,1258900
28.875,29.6875,29.75,28.875,1164600
30.25,30.375,30.6875,30.25,808700
30.75,31.25,31.375,30.6875,1266400
30.5625,30.1875,30.6875,30.125,471600
30.0,29.3125,30.0,29.0625,1064300
27.1875,26.6875,27.4375,26.0625,974200
26.375,26.0,26.9375,25.8125,832600
26.25,26.1875,26.625,26.0,457000
21.875,21.0,21.875,20.3125,1336100
22.125,24.75,25.125,21.75,2322600
19.8125,20.625,20.6875,18.6875,4133800
25.0625,24.0625,25.75,23.0,1916600
21.5625,22.9375,23.0,21.25,779700
26.0,23.75,26.0,23.5,1092500
24.25,23.75,24.5,23.5625,613500
27.375,26.625,27.375,26.625,649500
28.25,28.5,28.5,27.625,727300
27.125,27.25,27.5625,27.125,638700
29.625,29.5625,29.6875,28.75,572400
29.0,29.375,29.375,29.0,426000
29.625,30.75,30.875,29.625,1719400
30.125,30.0625,30.1875,29.5,1462700
30.0,29.75,30.125,29.5,1278900
26.625,26.5,27.25,26.5,780200
25.375,25.5625,25.75,25.125,587500
28.125,27.75,28.5,27.5625,334200
27.9375,29.125,29.1875,27.9375,689200
27.125,27.375,27.875,26.5,2858500
29.0,30.4375,30.6875,28.9375,1859400
30.25,31.875,32.125,30.1875,3973000
33.75,32.75,34.25,32.25,3423200
31.4375,31.25,31.625,30.5,1053800
29.125,29.1875,29.1875,28.625,1101100
29.25,29.1875,29.375,28.9375,903300
31.4375,31.375,31.75,31.25,1213100
30.875,31.625,31.75,30.75,1144300
30.6875,30.375,30.875,30.375,698200
31.0625,30.625,31.0625,30.5625,514900
31.1875,31.4375,31.9375,31.1875,930500
31.375,31.125,31.5,31.0625,377300
31.5,31.9375,32.125,31.4375,969700
35.4375,35.0,35.875,34.25,3864200
35.0,35.9375,35.9375,34.75,2602400
42.25,42.6875,42.8125,42.25,4316100
42.5,42.671875,42.875,42.5,2424900
42.5,42.375,42.6875,41.875,3902600
42.25,41.9375,42.375,41.875,2778200
43.125,43.25,43.4375,43.125,1579800
43.375,43.5,43.5,43.3125,1221800
44.125,43.75,44.125,43.75,5149900
44.5,44.5,44.5625,44.4375,1441900
42.75,42.875,43.0,42.75,101200
40.375,40.5,40.625,40.0625,108100
38.5,39.625,39.875,38.5,159500
40.0625,40.1875,40.25,40.0,15600
40.125,40.9375,41.0,39.75,53100
40.4375,40.4375,40.5625,40.0,23200
39.5,39.75,39.875,39.375,21100
39.375,39.25,39.5,39.25,29600
39.75,39.5,39.75,39.5,42900
39.125,39.1875,39.1875,39.0,24400
38.625,38.875,38.875,38.5625,26200
39.125,39.0625,39.25,39.0625,33000
38.9375,38.4375,38.9375,38.3125,12300
38.4375,38.375,38.4375,38.3125,13600
37.375,37.125,37.375,37.0625,51300
38.125,38.25,38.5,38.0625,13100
39.4375,39.375,39.625,39.3125,7100
37.3125,37.0,37.3125,37.0,22000
37.375,38.0,38.125,37.375,25000
37.1875,37.4375,37.75,37.1875,25500
38.5625,38.5,38.5625,37.875,48300
40.0625,39.875,40.1875,39.875,17300
38.25,38.8125,39.0,38.25,22700
38.8125,38.4375,38.8125,38.4375,2800
37.0,36.875,38.3125,36.5625,57900
36.125,36.0625,36.125,36.0,18300
34.75,35.8125,35.875,34.75,40900
36.5,36.6875,37.25,36.4375,34100
36.5,36.25,36.5,36.0,12200
34.4375,34.5625,34.5625,34.1875,15800
36.5,36.9375,37.375,36.5,43500
36.75,36.5,36.75,36.1875,34800
35.9375,35.875,36.0,35.8125,5200
37.125,36.4375,37.125,36.375,6200
37.25,37.0625,37.25,36.875,11500
35.625,35.875,36.125,35.625,30200
35.75,35.6875,35.8125,35.4375,3600
35.5,35.8125,36.125,35.0,24700
35.25,35.25,35.4375,34.9375,17800
34.875,34.5,35.0,34.25,7900
32.8125,32.5625,33.0,32.5625,19400
32.0625,32.375,32.5,32.0625,7500
32.125,32.0,32.5,32.0,19800
31.4375,31.875,31.9375,31.4375,11200
32.1875,32.3125,32.375,32.125,9100
32.0,32.0,32.0,31.875,25700
33.0625,34.5,34.875,33.0625,70200
35.5,35.75,36.0,35.0,64400
37.875,39.125,39.375,37.875,121000
38.25,38.375,39.0,38.25,68500
37.5625,37.8125,38.3125,37.5625,45200
38.25,38.0,38.5625,38.0,29900
38.875,38.375,38.875,38.375,7200
39.0625,38.9375,39.1875,38.625,27000
36.875,37.625,37.75,36.875,19000
37.0625,37.0625,37.25,36.875,16400
37.875,38.1875,38.375,37.875,40300
38.6875,39.0,39.0625,38.625,83800
39.5,40.125,40.375,39.5,21900
35.6875,35.6875,35.6875,35.6875,0
34.125,35.0625,35.5,33.5625,20300
34.25,34.9375,35.125,34.25,4500
34.375,33.4375,34.875,33.25,9700
32.375,31.625,32.375,31.625,7000
32.0,32.0,32.0625,32.0,4300
31.9375,32.5,32.75,31.9375,7300
31.0,30.625,31.4375,30.625,7000
31.1875,31.875,31.875,31.1875,8700
31.0625,31.0625,31.125,31.0625,1000
31.125,31.125,31.125,31.125,100
31.0625,31.0625,31.0625,31.0625,0
31.125,31.125,32.0,31.125,3500
30.875,30.875,30.875,30.875,2500
30.9375,30.9375,30.9375,30.9375,0
29.875,29.5625,29.875,29.5625,3700
29.625,29.5625,30.0,29.5,7900
31.375,29.9375,31.375,29.8125,15400
29.1875,29.3125,30.0,29.1875,7200
29.5,29.6875,29.6875,29.25,2100
29.625,29.625,29.625,29.625,100
29.75,29.875,30.5,29.75,5200
29.3799991607666,29.5,29.75,29.3799991607666,1500
29.350000381469727,29.420000076293945,29.829999923706055,29.350000381469727,800
29.5,29.75,29.799999237060547,29.200000762939453,8200
29.299999237060547,30.0,30.0,29.299999237060547,1600
29.530000686645508,30.0,30.0,29.049999237060547,4300
29.5,29.0,29.5,29.0,2300
28.75,28.149999618530273,28.75,28.0,6100
27.799999237060547,27.84000015258789,27.84000015258789,27.799999237060547,800
28.899999618530273,29.0,29.0,28.799999237060547,1900
29.0,29.049999237060547,29.049999237060547,28.75,1700
28.299999237060547,28.15999984741211,28.299999237060547,28.149999618530273,600
28.200000762939453,28.049999237060547,28.549999237060547,28.049999237060547,2900
27.0,27.389999389648438,27.489999771118164,27.0,3500
28.200000762939453,28.290000915527344,28.489999771118164,28.100000381469727,8700
29.5,29.5,29.780000686645508,29.399999618530273,3700
29.5,28.899999618530273,29.5,28.5,6100
28.5,28.5,28.5,28.5,0
28.0,27.25,28.0,27.25,11000
25.25,25.0,25.25,25.0,2900
25.190000534057617,25.0,25.190000534057617,24.399999618530273,3400
23.239999771118164,23.0,23.239999771118164,23.0,600
22.719999313354492,21.90999984741211,22.719999313354492,21.90999984741211,10500
22.0,22.299999237060547,22.299999237060547,21.6299991607666,33500
21.5,21.719999313354492,21.799999237060547,21.25,8400
21.700000762939453,21.940000534057617,22.399999618530273,21.700000762939453,18300
21.799999237060547,21.600000381469727,21.799999237060547,21.600000381469727,1200
21.889999389648438,21.5,21.899999618530273,21.5,6500
21.149999618530273,21.049999237060547,21.149999618530273,21.049999237060547,1200
19.65999984741211,19.799999237060547,19.799999237060547,19.600000381469727,4900
19.799999237060547,19.690000534057617,19.799999237060547,19.600000381469727,1200
19.149999618530273,18.5,19.389999389648438,18.5,10400
17.700000762939453,17.100000381469727,17.700000762939453,17.0,5900
